latitude,longitude,bikes_available
23.10316,120.35278,3
23.03986,120.19917,7
23.00444,120.18911,8
23.00583,120.19141,17
22.98286,120.18433,9
23.01723,120.2262,15
23.02529,120.2054,7
23.04961,120.21859,4
23.06683,120.20034,9
23.3201,120.26492,2
22.99781,120.18759,7
23.02808,120.19255,10
22.99772,120.21193,26
22.98509,120.2409,18
22.95824,120.22327,3
22.9884,120.19852,5
23.03141,120.19523,12
23.11666,120.30525,19
23.30443,120.31844,11
23.06483,120.29409,2
23.05143,120.21499,10
22.99327,120.19438,8
23.13305,120.29624,9
23.00239,120.22315,14
22.99874,120.23264,17
23.07768,120.28675,6
23.30647,120.32277,28
22.95972,120.19264,7
22.98443,120.17242,13
23.00988,120.20825,2
23.02747,120.19788,6
23.10225,120.28843,11
23.00709,120.27174,19
23.024,120.23416,13
22.99654,120.15367,9
22.92385,120.24049,3
22.96447,120.23705,14
23.06793,120.21785,10
22.97271,120.19054,9
23.1145,120.27483,5
23.16551,120.17647,4
23.31125,120.30014,8
23.00397,120.21322,1
23.05829,120.23282,5
22.97224,120.25181,9
23.37871,120.33528,3
22.98396,120.22339,5
23.05312,120.17768,7
22.99139,120.21502,11
23.01461,120.24684,10
22.98844,120.17223,14
23.20952,120.32323,8
22.97976,120.21934,2
22.99286,120.1767,18
23.06637,120.12684,6
23.00601,120.26716,8
23.02729,120.18768,10
22.97483,120.23239,13
23.15393,120.17849,4
22.92332,120.28666,15
22.96281,120.32772,4
23.1281,120.29298,4
23.33157,120.31718,5
22.99215,120.23123,32
22.99797,120.21238,26
23.01131,120.2004,7
23.05393,120.21137,8
23.00113,120.21495,5
22.98719,120.20713,8
23.31878,120.40338,8
22.97592,120.21202,9
23.31984,120.31187,9
22.97168,120.18422,9
23.31273,120.31436,8
23.31541,120.32459,7
22.97465,120.22966,0
22.97236,120.29538,4
23.13364,120.30599,29
22.99374,120.19335,5
23.00254,120.13935,3
22.99224,120.22008,10
23.16832,120.17803,4
23.15867,120.17062,3
23.00064,120.22511,11
22.96872,120.27559,10
22.96079,120.24341,14
23.06927,120.1781,12
22.99328,120.17961,11
23.00357,120.23087,9
23.01916,120.21591,10
23.2392,120.26188,6
23.23762,120.26816,6
22.9777,120.18473,13
22.98923,120.18674,7
22.99614,120.21822,11
22.98132,120.2352,12
23.36585,120.36221,3
22.967298,120.294634,13
23.03781,120.30746,6
23.10948,120.30605,0
23.00782,120.17967,12
23.23306,120.2617,3
23.02556,120.23597,3
22.95923,120.22681,12
23.29854,120.30475,5
22.92479,120.29201,3
